SubjektUri,SubjektDe,SubjektEn,SubjektAltDe,SubjektAltEn,SubjektTyp ,Relation,Objekt,SeiteRelation,RestrictionOnProperty,RestrictionObject,RestrictionType,Definition,SeiteDefinition,Kapitel,Kommentar
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,,,26,meta:updates,Geschaeftsprozess,someValuesFrom,,,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,,,26,meta:uses,Geschaeftsprozess,someValuesFrom,,,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,,,26,meta:isDecomposedInIn,VerhandelnUndVerwaltenVonVertraegen,someValuesFrom,,,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,,,26,meta:isDecomposedInIn,WissensgenerierungUndVerteilung,someValuesFrom,,,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,,,,,,,"[...] Projekte auf der administrativen Managementebene in Komponenten umgesetzt wird (insbesondere in Informationssysteme). Die Entwicklung und Einführung von Informationssystemen umfasst Aufgaben (z. B.  Softwareentwicklung), die wesentlicher Bestandteil eines IM-Modells sind, in ein IM-Konzept eingehen und institutionalisiert werden. Darüber hinaus sind Aufgaben  des  administrativen Informationsmanagements  Bestandteil  des  IM-Modells, welche die Informationsfunktion und Informationsinfrastruktur insgesamt oder einzelne ihrer Komponenten zum Gegenstand haben, sich also nicht auf eine projektbezogene Betrachtung beschränken. Objekte derartiger  ganzheitlicher  administrativer  Aufgaben  sind  Personal, Datensystem, Geschäftsprozesse, Wissensgenerierung und -verteilung sowie Verhandeln und Verwalten von Verträgen. ",25,ERMOD,
AggressiveITStrategie,Aggressive IT-Strategie,,,,EntityType,rdfs:subClassOf,ITStrategie,114,,,,,115,,
AggressiveITStrategie,Aggressive IT-Strategie,,,,EntityType,,,114,meta:isAssociatedWith,Strategiecharakter,someValuesFrom,,115,,
AggressiveITStrategie,AggressiveIT- Strategie,,,,EntityType,,,,,,,"Die aggressive Strategie ist dadurch gekennzeichnet, als Technologieanwender ""an der vordersten Front"" zu operieren und die Technologienetwicklung selbst voran treiben zu wollen.",115,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Agilitaet,Agilität,,,,EntityType,,,95,meta:isAssociatedWith,Flexibilitaet,someValuesFrom,"von großer Beweglichkeit zeugend, wendig; Bündel von Eigenschaften einer Klasse von Vorgehensmodellen und Entwicklungstechniken. Substantiv: Agilität.",95;Website,,
Agilitaet,Agilität,,,,EntityType,,,95,meta:isAssociatedWith,Anpassbarkeit,someValuesFrom,,,,
Agilitaet,Agilität,,,,EntityType,,,95,meta:isAssociatedWith,Flexibilitaet,someValuesFrom,"von großer Beweglichkeit zeugend, wendig; Bündel von Eigenschaften einer Klasse von Vorgehensmodellen und Entwicklungstechniken. Substantiv: Agilität.",95;Website,,
AICPA,AICPA ,American Institute of Certified Public Accountants,,,EntityType,,,,,,,American Institute of Certified Public Accountants.,Website;211,,
AktualisierungQualitaetspolitik,Aktualisierung Qualitätspolitik,,,,Function,,,154,meta:uses,Qualitaetspolitik,someValuesFrom,,,,
AktualisierungQualitaetspolitik,Aktualisierung Qualitätspolitik,,,,Function,,,154,meta:updates,Qualitaetspolitik,someValuesFrom,,,,
AktualisierungQualitaetsziel,Aktualisierung Qualitätsziel,,,,Function,,,154,meta:uses,Qualitaetsziel,someValuesFrom,,,,
AktualisierungQualitaetsziel,Aktualisierung Qualitätsziel,,,,Function,,,154,meta:updates,Qualitaetsziel,someValuesFrom,,,,
Analyse,Analyse,Analysis,,,Function,,,,,,,"möglichst exakte Bestimmung und Charakterisierung von Teilen eines Systems (eines Ganzen) sowie der Beziehungen der Teile untereinander und zum Ganzen mit dem Zweck, das Ganze zu erklären.",Website;91,,
AnalyseUnternehmensziele,Analyse der Unternehmensziele,,,,Function,,,,,,,"Zur Analyse der Unternehmsziele sind folgende Arbeitsschritte durchzuführen: Bestimmen der strategischen Unternehmensziele, welche die kritischen Wettbewerbsfaktoren beeinflussen. Herausarbeiten der stategischen Unternehmensziele, zu deren Erreichung das Leistungspotenzial der Informationsfunktion beitragen kann. Herausarbeiten des Erfolgspotenzials, das zur Umsetzung des Leistungspotenzials in Unternehmenserfolg erforderlich ist (Sollzustand Erfolgspotential). Identifizieren des Bedarfspotenzials der Geschäftsprozesse.",110,,
IstzustandAnalysieren,Istzustand Analysieren,,,,Function,,,,,,,"Es werden die Wettbewerbsfaktoren, die kritisch sind (z. B.
eine vergleichsweise lange Auftragsabwicklungszeit), und die Möglichkeiten zur Beeinflussung
ihrer aktuellen WeIte durch IT-Investitionen (z. B. in verbesserte Systeme der
Produktionsplanung und -steuerung) identifiziert.",96,,
AnalytischeQMMassnahme,Analytische Qualitätsmanagement-Maßnahme,,,,Function,rdfs:subClassOf,QualitaetsmanagementMassnahme,151,,,,,,,
AnalytischeQMMassnahme,Analytische Qualitätsmanagement-Maßnahme,,,,Function,,,151,meta:isDecomposedIn,StatischAnalytischeQMMassnahme,someValuesFrom,,,,
AnalytischeQMMassnahme,Analytische Qualitätsmanagement-Maßnahme,,,,Function,,,151,meta:isDecomposedIn,DynamischAnalytischeQMMassnahme,someValuesFrom,,,,
AnforderungAnZielsystem,Anforderung an Zielsystem,,,,EntityType,,,105,meta:isDecomposedIn,Vollstaendigkeit,someValuesFrom,,,,
AnforderungAnZielsystem,Anforderung an Zielsystem,,,,EntityType,,,105,meta:isDecomposedIn,Operationalitaet,someValuesFrom,,,,
AnforderungAnZielsystem,Anforderung an Zielsystem,,,,EntityType,,,105,meta:isDecomposedIn,Widerspruchsfreiheit,someValuesFrom,,,,
AnforderungAnZielsystem,Anforderung an Zielsystem,,,,EntityType,,,105,meta:isDecomposedIn,Realisierbarkeit,someValuesFrom,,,,
AnforderungAnZielsystem,Anforderung an Zielsystem,,,,EntityType,,,105,meta:isDecomposedIn,IdentifikationDerBetroffenen,someValuesFrom,,,,
AnforderungAnZielsystem,Anforderung an Zielsystem,,,,EntityType,,,,,,,,104,,
Anforderungsprofil,Anforderungsprofil,Requirements Profile,,,EntityType,,,,meta:isAssociatedWith,Stelle,someValuesFrom,"aus dem Aufgabenprofil einer Stelle zur Aufgabenerfüllung abgeleitete Qualifikation (Wissen, Können, Fähigkeiten, Fertigkeiten).",31;241;Website,STELL,
Angebot,Angebot,tender,,Request for Proposal,EntityType,,,,,,,"1. zeitlich befristeter Vertragsantrag eines potenziellen Auftragnehmers an einen potenziellen Auftraggeber über die Realisierung eines Beschaffungsprojekts (Lerneinheit TECHM).; 2. empfangsbedürftige Willenserklärung, die alle wesentlichen Vertragsbestandteile enthält, sodass das Zustandekommen des Vertrags nur vom Einverständnis des Empfängers abhängt. (Lerneinheit VERMA).",Website;161;297,,
Angebotsanalyse,Angebotsanalyse,tender analysis,Angebotsanalyse und -evaluierung,,Function,,,,,,,"Untersuchung und Evaluierung von Angeboten mit dem Ziel, das optimale Angebot zu bestimmen.",161;Website,,
Angebotspreis,Angebotspreis,,,,EntityType,rdfs:subClassOf,Wettbewerbsfaktor,96,,,,,,,
Anonymitaet,Anonymität,,,,EntityType,rdfs:subClassOf,ItSicherheitsanforderung,108,,,,,,,
Anonymitaet,Anonymität,,,,EntityType,,,,,,,,108,,
Anpassbarkeit,Anpassbarkeit,,Anpassungsstreben,,EntityType,,,107,meta:isAssociatedWith,TheoretischeZielanalyse,someValuesFrom,"Anpassung ist die Eigenschaft der IT, ohne grundlegende Veränderungen auf qualitative und quantitative Änderungen der Informationsfunktion reagieren zu können (Flexibilität, neuerdings auch Agilität bezeichnet).",107,,
Anwendungsarchitektur,Anwendungsarchitektur,,,,EntityType,rdfs:subClassOf,Teilarchitektur,43;47,,,,"Eine Anwendungsarchitektur bildet die Funktionalität und den Zusammenhang der Anwendungssysteme
in einem Unternehmen ab. Abhängig vom Velwendungszweck können
auch Architekturen für einzelne Aufgabengebiete (z. B. Finanz- oder Personalwesen) gebildet
werden.",,ARCHI,
,,,,,,,,,,,,,,,
Anwendungsarchitektur,Anwendungsarchitektur,Application Architecture,,,EntityType,,,,,,,Modell der Funktionalität und des Zusammenhangs der Anwendungssysteme eines Unternehmens oder Aufgabengebiets.,43;Website,ARCHI,
Anwendungssystem,Anwendungssystem,,,,EntityType,rdfs:subClassOf,ControllingObjekt,201,,,,,,,
Anwendungssystem,Anwendungssystem,Application System,,,EntityType,,,,,,,"Teil eines Informationssystems, das zur Unterstützung einer bestimmten Aufgabe eingesetzt wird; Kombination von Anwendungsprogramm oder _x001E_-programmen und zugehörigen Daten. z.B. für einen Geschätsprozess.",Website;201,,
ArchitectureChangeManagement,TOGAF-Phase H,Architecture Change Management,,,EntityType,,,,,,,"Phase H: ""Architecture Change Management"" etabliert
Strukturen zur Identifizierung und
Verfolgung von technologischen
Entwicklungen sowie Veränderungen
im geschäftlichen Umfeld
des Untelrnehmens und leitet daraus
Anforderungen an die Veränderung
der Architektur ab.",51,ARCHI,
ArchitectureVision,TOGAF-Phase A,Architecture Vision,,,EntityType,,,,,,,"Das Ziel der Phase A ""Architecture Vision"" besteht
darin, die Unterstützung relevanter Fühmngskräfte zu gewinnen, genaue Ziele zu definieren
welche mit der Architekturentwicklung elTeicht werden sollen, Bestandteile der Architekru::
zu definieren und zu priorisieren, Genehmigungen und Ressourcen für die Architekturentwicklung
einzuholen sowie eventuelle Schnittstellen mit anderen Architekturentwicklungsvorhaben
zu defimeren.",50,ARCHI,
Architektur,Architektur,,,,EntityType,rdfs:subClassOf,Modell,,,,,,,,hinzugefügt
Architektur,Architektur,,,,EntityType,,,43,meta:isBasedOn,Architekturprinzip,someValuesFrom,,,,
Architektur,Architektur,Description Function of an Architecture,,,EntityType,,,44,meta:purpose,Beschreibungsfunktion,someValuesFrom,,,ARCHI,
Architektur,Architektur,Description Function of an Architecture,,,EntityType,,,44,meta:purpose,Kommunikationsfunktion,someValuesFrom,,,ARCHI,
Architektur,Architektur,,,,EntityType,,,44,meta:purpose,Gestaltungsfunktion,someValuesFrom,,,ARCHI,
Architektur,Architektur,,,,EntityType,,,44,meta:isBasedOn,GesamtzusammenhaengeDerInformationsinfrastruktur,someValuesFrom,,,,
Architektur,Architektur,,,,EntityType,,,45,meta:isAssociatedWith,TOGAF,someValuesFrom,,,,
Architektur,Architektur,,,,EntityType,,,46,meta:isDecomposedIn,Teilarchitektur,someValuesFrom,,,,
Architektur,Architektur,Architecture,"Architektur der Informationsinfrastruktur; ""Generalbebauungsplan"";Architekturbeschreibung",,EntityType,,,,,,,"Unter der Architektur eines Systems wird dessen Organisation verstanden, welche sich in
den Komponenten und deren Beziehungen zueinander sowie zum Systemumfeld manifestiert. Häufig werden auch Gestaltungsprinzipien und Konsruktionsregeln zur Architektur
gezählt (vgl. z. B. IEEE 1471-2000, ISO/lEC 42010:2007 und TOGAF). Architekturen sollen die Gesamtzusammenhänge der Informationsinfrastruktur eines Untemehmens möglichst ganzheitlich, das heißt auf einem hohen Abstraktionsniveau repräsentieren.",43;44;45;Website,ARCHI,
Architekturmanagement,Architekturmanagement,,,,Function,,,104,meta:uses,StrategischeZielplanungErgebnis,someValuesFrom,,,,
Architekturmanagement,Architekturmanagement,,,,Function,,,53,meta:uses,EnterpriseArchitectureManagement,someValuesFrom,,,,
Architekturmetamodell,Architekturmetamodell,Architecture Framework,,,EntityType,rdfs:subClassOf,Metamodell,47,,,,,,ARCHI,
Architekturprinzip,Architekturprinzip,Architecture Principle,Gestaltungsprinzip,,EntityType,,,43,meta:isAssociatedWith,Architektur,someValuesFrom,,,ARCHI,
Architekturprinzip,Architekturprinzip,Architecture Principle,,,EntityType,,,,,,,"grundlegende Aussage zur Konstruktion, Beschreibung und Evaluierung von Architekturen.",Website;43;51,,
ARIS,ARIS,,,,EntityType,,,49,meta:isDecomposedIn,Organisationssicht,someValuesFrom,,,,
ARIS,ARIS,,,,EntityType,,,49,meta:isDecomposedIn,Datensicht,someValuesFrom,,,,
ARIS,ARIS,,,,EntityType,,,49,meta:isDecomposedIn,Leistungssicht,someValuesFrom,,,,
ARIS,ARIS,,,,EntityType,,,49,meta:isDecomposedIn,Steuerungssicht,someValuesFrom,,,,
ARIS,ARIS ,,,,EntityType,rdfs:subClassOf,Architekturmetamodell,48,,,,,,ARCHI,
ARIS,ARIS ,,,,EntityType,,,49,meta:isDecomposedInIn,Organisationssicht,someValuesFrom,,,ARCHI,
ARIS,ARIS ,,,,EntityType,,,49,meta:isDecomposedInIn,Datensicht,someValuesFrom,,,ARCHI,
ARIS,ARIS ,,,,EntityType,,,49,meta:isDecomposedInIn,Steuerungssicht,someValuesFrom,,,ARCHI,
ARIS,ARIS ,,,,EntityType,,,49,meta:isDecomposedInIn,Leistungssicht,someValuesFrom,,,ARCHI,
ARIS,ARIS ,,,,EntityType,,,49,meta:isDecomposedInIn,Funktionssicht,someValuesFrom,,,ARCHI,
ARISItArchitect,ARIS IT Architect (SoftwareAG),,,,EntityType,rdfs:subClassOf,Geschaeftsprozessmodellierungswerkzeug,,,,,,440;53,,
Geschaeftsprozessmodellierungswerkzeug,Geschäftsprozessmodellierungswerkzeug,,,,EntityType,rdfs:subClassOf,SoftwareProduct,,,,,,,,manuell hinzugefügt
ASP,ASP ,Application Service Provider,,Application Service Providing,Role,,,,,,,"ASP ist eine Spezialform des Outsourcings, bei der ein Dienstleister (auch Application Service
Provider genannt) Kunden gegen Entgelt die Nutzung von Anwendungsprogrammen
ermöglicht.",Website;161;230,,
Audit,Audit,,,,EntityType,rdfs:subClassOf,MethodeQualitaetspruefung,157,,,,,,,
Aufgabe,Aufgabe,Function,,,Function,,,,,,,"[…] dass in jedem Unternehmen Aufgaben erfüllt werden, deren Zweck das Beschaffen, Verteilen und Verwenden von Information und damit auch Kommunikation ist, kurz: Informations- und Kommunikationsaufgaben. Jede dieser Aufgaben wird durch eine Anzahl von Tätigkeiten erfüllt.",19,,
,,,,,,,,,,,,,,,
Aufgabenprofil,Aufgabenprofil,Task Profile,,,EntityType,,,,meta:isAssociatedWith,Aufgabentraeger,someValuesFrom,"aus dem Leistungsprogramm abgeleitete Teilleistung einer Stelle bzw. eines Aufgabenträgers im Sinne von Aufforderungen, an bestimmten Objekten (Aktionsobjekte) bestimmte körperliche oder geistige Verrichtungen (Aktionsarten) durchzuführen, um definierte Ziele zu erreichen.",31,STELL,
Aufgabentraeger,Aufgabenträger,Task Bearer,,,Role,,,17,meta:meta:isResponsibleForFunctionFunction,Aufgabe,someValuesFrom,"Mensch (Person oder Gruppe) oder Mensch/Technik-System, dem eine Aufgabe zur Aufgabenerfüllung übertragen ist.",17,ERMOD,
,,,,,,,,,,,,,,,
Auftragsabwicklungszeit,Auftragsabwicklungszeit,,,,EntityType,rdfs:subClassOf,Wettbewerbsfaktor,96,,,,,,,
Automatisierung,Automatisierung,,,,EntityType,rdfs:subClassOf,Potenzialfaktor,99,,,,,,,
Potenzialfaktor,Potenzialfaktor,Potential Factor,,,EntityType,,,,,,,"Eigenschaft einer Technologie, die bei deren Nutzung die Ausschöpfung des Nutzenpotenzials unterstützt (z. B. Erhöhung der Produktivität).",Website,,
Availability,Availability(COBit),Availability(COBit),Verfügbarkeit,,EntityType,rdfs:subClassOf,COBITInformationCriterion,,,,,Benötigte Informationen stehen für betriebliche Aufgaben zur Verfügung.,61,GOVER,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Benutzerorientierung,Benutzerorientierung,,Kundenorientierung,,EntityType,,,,,,,,111,,
ItLeitbild,IT-Leitbild,,,,EntityType,,,111,meta:isDecomposedInIn,Benutzerorientierung,someValuesFrom,,,,
ItLeitbild,IT-Leitbild,,,,EntityType,,,111,meta:isDecomposedInIn,Datenschutz,someValuesFrom,,,,
Datenschutz,Datenschutz,,,,EntityType,,,,,,,,111,,
Mitarbeiterorientierung,Mitarbeiterorientierung,,,,EntityType,,,,,,,,111,,
ItLeitbild,IT-Leitbild,,,,EntityType,,,111,meta:isDecomposedInIn,Mitarbeiterorientierung,someValuesFrom,,,,
Sicherheit,Sicherheit,,,,EntityType,,,,,,,,111,,
ItLeitbild,IT-Leitbild,,,,EntityType,,,111,meta:isDecomposedInIn,Sicherheit,someValuesFrom,,,,
Umweltschutz,Umweltschutz,,Öko-IT; Green-IT,,EntityType,,,,,,,,111,,
ItLeitbild,IT-Leitbild,,,,EntityType,,,111,meta:isDecomposedInIn,Umweltschutz,someValuesFrom,,,,
Zielorientierung,Zielorientierung,,,,EntityType,,,,,,,,111,,
ItLeitbild,IT-Leitbild,,,,EntityType,,,111,meta:isDecomposedInIn,Zielorientierung,someValuesFrom,,,,
,,,,,,,,,,,,,,,
Berufsbild,Berufsbild,,,,EntityType,,,,,,,"Berufsbild heißt Beschreibung der Elemente eines Berufes (Vorbildung, Ausbildung, Tätigkeiten,
Aufstiegschancen, Weiterbildungsformen, Verdienstmöglichkeiten usw.), besonders
eines Ausbildungsberufes (Lerninhalte, Prüfungen usw.).",33,STELL,
Beschreibungsfunktion,Beschreibungsfunktion,,,,EntityType,,,,,,,"Im Rahmen der Beschreibungsfunktion dienen Architekturen dazu, die Ist-Situation abzubilden. Architekturen sollen die Gesamtzusammenhänge der Informationsinfrastruktur eines Untemehmens möglichst ganzheitlich, das heißt auf einem hohen Abstraktionsniveau repräsentieren.",44,ARCHI,
,,,,,,,,,,,,,,,
WettbewerbsfaktorenBestimmen,Wettbewerbsfaktoren bestimmen,,,,Function,,,,,,,"Beispiele fiir Wettbewerbs faktoren sind: Kosten
der Leistungserstellung und -velwertung und damit auch Angebotspreise, Servicezeit
und Servicegrad, Lieferbereitschaft und Lieferbereitschaftsgrad, Produkt- und Prozessqualität,
Produktentwicklungs- und Auftragsabwicklungszeit, organisatorische und technologische
Flexibilität.",96,,
BestOfBreedStrategie,Best-of-Breed-Strategie,Best-of-Breed-Strategy,,,EntityType,,,,,,,"Best-of-Breen.Strategie heißt die besten am IT-Markt verfügbaren Produkte für Teillösungen zu identifizieren, zu beschaffen und dann zu einer Gesamtlösung zu integrieren.",121,,
BestofBreedStrategie,Best-of-Breed-Strategie,,,,EntityType,rdfs:subClassOf,Strategie,121,,,,,,,
BestofBreedStrategie,Best-of-Breed-Strategie,,,,EntityType,,,121,meta:isAssociatedWith,Teilstrategie,someValuesFrom,,,,
BetriebKomponenteInfrastruktur,Betrieb einer Komponente der Informationsinfrastruktur,Information Infrastructure Component Operation,,,Function,,,,,,,"Betrieb oder Nutzung der Infrastruktur (z.B. Benutzerservice, Problemmanagement)",24,ERMOD,
BetriebKomponenteInformationsfunktion,Betrieb einer Komponente einer Informationsfunktion,Information Function Component Operation,,,Function,,,,,,,"Betrieb oder Nutzung der Komponenten der Informationsfunktion (z.B. Datenerfassung, Wissensgenerierung)",24,ERMOD,
BetriebswirtschaftlichOrientiertesSachziel,Betriebswirtschaftlich orientiertes Sachziel,,,,EntityType,,,,,,,"Beispiele für betriebswirtschaftlich orientierte Sachziele mit relativ langfristig gültigem Zielinhalt sind Streben nach Prozessorientierung, Virtualisierung oder Wissensorientierung.",105,,
BetriebswirtschaftlichOrientiertesSachziel,Betriebswirtschaftlich orientiertes Sachziel,,,,EntityType,rdfs:subClassOf,Sachziel,105,,,,,,,
Bitkom,"Bundesverband Informationswirtschaft, Telekommunikation und neue Medien e.V.",,BITKOM,,Role,,,,,,,"Bundesverband Informationswirtschaft, Telekommunikation und neue Medien e. V..",Website;67,RECHT,ohne weitere Beziehung
BottomUpAnsatz,Bottom-up-Ansatz,bottom-up approach,,,EntityType,,,,,,,"Vorgehensweise bei Analyse, Entwurf, Testen usw., bei der mit den Systemteilen begonnen wird, die sich auf der untersten Ebene des hierarchisch gegliederten Systems befinden. Im Gegensatz dazu: Top-down Analyse.",103,,ohne weitere Beziehung
Branchenstrukturmodell,Branchenstrukturmodell,,,,EntityType,,,,,,,,118,,
Branchenstrukturmodell,Branchenstrukturmodell,,,,EntityType,,,118,meta:isBasedOn,StructureConductPerformanceHypothese,someValuesFrom,,,,
BuergerlichesGesetzbuch,Bürgerliches Gesetzbuch,,BGB (D),,EntityType,rdfs:subClassOf,Gesetz,,,,,Bürgerliches Gesetzbuch (Deutschland).,Website;67,RECHT,
Bundesdatenschutzgesetz,Bundesdatenschutzgesetz,,BDSG,,EntityType,rdfs:subClassOf,Gesetz,,,,,Bundesdatenschutzgesetz (Deutschland); amtliche Abkürzung für das Gesetz zur Fortentwicklung der Datenverarbeitung und des Datenschutzes der Bundesrepublik Deutschland.,Website;67,RECHT,
Business,Unternehmens- bzw. Geschäftsmodell,Business (Executive Leaders),,,EntityType,rdfs:subClassOf,Perspektive,,,,,"Sicht der Führungskräfte; Darstellung und Erklärung geschäftsrelevanter Gegenstände, Prozesse und Organisationseinheiten im Zusammenhang.",48,,
Perspektive,Perspektive auf die Architektur der Informationsinfrastruktur,,,,EntityType,,,,,,,Perspektiven unterschiedlicher Rollen entsprechend dem Zachman Enterprise Framework 2.,47;48,,
BusinessArchitecture,TOGAF-Phase B,Business Architecture,,,EntityType,,,,,,,"In Phase B ""Business Architecture"" geht es darum, Ist- und Sollzustand der Geschäftsarchitektur und sich daraus ergebende Diskrepanzen zu beschreiben sowie Perspektiven auszuwählen, die geeignet sind, die mit der Architektur angestrebten Problemlösungsbeiträge zu verdeutlichen.",50;51,,
BusinessItAlignment,Business-IT-Alignment,"IT-Alignment, Alignment",,,Function,,,,,,,"Abstimmung bzw. gegenseitige Ausrichtung von Unternehmensstrategie und IT-Einsatz; zum Teil abgekürzt als IT-Alignment oder Alignment (von engl. adjusting a line). Kann aber auch als Anpassung
der betrieblichen Aufgaben an das Innovationspotenzial der IT interpretiert werden.",55;22,GOVER,
BusinessItAlignment,Business-IT-Alignment ,,,,Function,,,22,meta:isAssociatedWith,Innovationspotenzial,someValuesFrom,,,ERMOD,
BusinessItAlignment,Business-IT-Alignment,"IT-Alignment, Alignment",,,Function,,,22;55,meta:updates,Unternehmensstrategie,someValuesFrom,,,GOVER,
BusinessItAlignment,Business-IT-Alignment,,,,Function,,,22;55,meta:updates,ItEinsatz,someValuesFrom,,,GOVER,
BusinessItAlignment,Business-IT-Alignment,,,,Function,,,22;55;57,meta:uses,Unternehmensstrategie,someValuesFrom,,,GOVER,
BusinessItAlignment,Business-IT-Alignment,,,,Function,,,22;55,meta:uses,ItEinsatz,someValuesFrom,,,GOVER,
BusinessItAlignment,Business-IT-Alignment,Strategic Alignment,,,Function,rdfs:subClassOf,ItGovernanceAufgabe,57,,,,,,GOVER,
