c,l,Persian,Persian2,Problem/Question,English,MYD answer,MG answer
http://www.snik.eu/ontology/bb/SuitabilityForIndividualization,Suitability for Individualization,مناسبت برای شخصی سازی,,,,,
http://www.snik.eu/ontology/bb/VitalSign,Vital Sign,علائم حیاتی,,,,,
http://www.snik.eu/ontology/bb/Usability,Usability,قابلیت استفاده,,,,,
http://www.snik.eu/ontology/bb/ProjectManager,Project Manager,مدیر پروژه,,,,,
http://www.snik.eu/ontology/bb/Education,Education,اموزش,,,,,
http://www.snik.eu/ontology/bb/DataIntegration,Data Integration|Datenintegration,یکپارچگی داده ها,ادغام داده ها,,,,
http://www.snik.eu/ontology/bb/Planning,Planning|Planung,برنامه ریزی,,,,,
http://www.snik.eu/ontology/bb/Network,Network,شبکه ,,,,,
http://www.snik.eu/ontology/bb/3LGM2ReceivingInterface,3LGMÂ² Receiving Interface, اینترفیس دریافت  3LGM2,,,,,
http://www.snik.eu/ontology/bb/SigG,Signaturgesetz,قانون امضا,,,,,
http://www.snik.eu/ontology/bb/QualitativeEvaluationMethod,Qualitative Evaluation Method,روش ارزیابی کیفی,,,,,
http://www.snik.eu/ontology/bb/Monitoring,Monitoring|Ãœberwachung,نظارت بر,,,,,
http://www.snik.eu/ontology/bb/LongTermArchiving,Long Term Archiving,بایگانی طولانی مدت,,,,,
http://www.snik.eu/ontology/bb/Surgeon,Surgeon,پزشک جراح,,,,,
http://www.snik.eu/ontology/bb/StudyObjective,Study Objective,هدف مطالعه,,,,,
http://www.snik.eu/ontology/bb/Room,Room,اتاق,,,,,
http://www.snik.eu/ontology/bb/PaperBasedApplicationComponent,Paper-Based Application Component,اجزا برنامه مبتنی بر کاغذ,,,,,
http://www.snik.eu/ontology/bb/OutpatientManagementSystem,Ambulanzmanagementsystem|Outpatient Management System,سیستم مدیریت سرپایی,,,,,
http://www.snik.eu/ontology/bb/SignalBasedTransmittingMedium,Signal Based Transmitting Medium,سخت افزار انتقال مبتنی بر سیگنال,,,,,
http://www.snik.eu/ontology/bb/BalanceOfDocumentationQualityAndDocumentationEfforts,Balance of Documentation Quality and Documentation Efforts,تعادل کیفیت مستندات و تلاش های مستند سازی,,,,,
http://www.snik.eu/ontology/bb/DescriptionOfThePlannedHISState,Description of the Planned HIS State,توصیف وضعیت برنامه ریزی شده HIS,,,,,
http://www.snik.eu/ontology/bb/FulfillmentOfStrategicHospitalGoal,Fulfillment of Strategic Hospital Goal,اجرای هدف بیمارستان استراتژیک,,,,,
http://www.snik.eu/ontology/bb/CertificationByEuroRec,Certification by EuroRec,صدور گواهینامه EuroRec,,,,,
http://www.snik.eu/ontology/bb/HL7EventType,HL7 Event Type,نوع رویداد HL7,,,,,
http://www.snik.eu/ontology/bb/IntegratedCare,Integrated Care,مراقبت یکپارچه,,,,,
http://www.snik.eu/ontology/bb/Pharmacy,Pharmacy,داروخانه,,,,,
http://www.snik.eu/ontology/bb/EntityTypeModelingElement,Entity Type Modeling Element,نوع موجودیت عنصر مدل سازی,,,,,
http://www.snik.eu/ontology/bb/CommunicationNetwork,Communication Network,شبکه ارتباطی,,,,,
http://www.snik.eu/ontology/bb/OperationalInformationManagementStaff,Operational Information Management Staff,کارکنان عملیاتی مدیریت اطلاعات,,,,,
http://www.snik.eu/ontology/bb/PathologyReport,Pathology Report,گزارش پاتولوژی,,,,,
http://www.snik.eu/ontology/bb/Model,Model|Modell,مدل,,,,,
http://www.snik.eu/ontology/bb/Subsystem,Subsystem,زیر سیستم,,,,,
http://www.snik.eu/ontology/bb/OfficesAndWritingServiceForReportWriting,Offices and Writing Service for Report Writing,دفاتر و خدمات نوشتن برای گزارش نویسی,,,,,
http://www.snik.eu/ontology/bb/Telemicroscopy,Telemicroscopy,تله میکروسکوپی ,,,,,
http://www.snik.eu/ontology/bb/ServiceDeskStaff,Service Desk Staff,کارکنان دفتر خدمات,,,,,
http://www.snik.eu/ontology/bb/WebServer,Web Server,وب سرور,,,,,
http://www.snik.eu/ontology/bb/AdministrativeSticker,Administrative Sticker,برچسب اداری,,,,,
http://www.snik.eu/ontology/bb/ServiceCatalog,Service Catalog,کاتالوگ خدمات,,,,,
http://www.snik.eu/ontology/bb/ClassificationOfDiagnoses,Classification of Diagnoses,طبقه بندی تشخیص,,,,,
http://www.snik.eu/ontology/bb/DeliveringOfCustomerCenteredServices,Delivering of Customer-Centered Services,ارائه خدمات مشتری متمرکز,,,,,
http://www.snik.eu/ontology/bb/EuropeanNorm,European Norm,استاندارد اروپایی,,,,,
http://www.snik.eu/ontology/bb/UmlActivityDiagram,UML Activity Diagram,نمودار فعالیت UML,,,,,
http://www.snik.eu/ontology/bb/Controllability,Controllability,کنترل پذیری,,,,,
http://www.snik.eu/ontology/bb/AdHocMonitoring,Ad Hoc Monitoring,مانیتورینگ ویژه,,,,,
http://www.snik.eu/ontology/bb/HomogeneousArchitecture,Homogeneous Architecture,معماری همگن,,,,,
http://www.snik.eu/ontology/bb/InformedConsent,Informed Consent,رضایت نامه آگاهانه,,,,,
http://www.snik.eu/ontology/bb/ControlledRedundancyOfData,Controlled Redundancy of Data|Kontrollierte Redundanz,کنترل افزونگی داده ها ,,,,,
http://www.snik.eu/ontology/bb/ElectronicPatientRecord,Electronic Patient Record,ثبت الکترونیکی بیمار,,,,,
http://www.snik.eu/ontology/bb/AccessControlSystem,Access Control System,سیستم کنترل دسترسی,,,,,
http://www.snik.eu/ontology/bb/OperationReport,Operation Report,گزارش عملیات,,,,,
http://www.snik.eu/ontology/bb/MaterialControlling,Material Controlling,کنترل مواد,,,,,
http://www.snik.eu/ontology/bb/ISO9241110,ISO 9241-110,ISO 9241-110,,,,,
http://www.snik.eu/ontology/bb/OpenEHRModelOfProcesses,OpenEHR Model of Processes,OpenEHR مدل روند,,,,,
http://www.snik.eu/ontology/bb/RotaryPhone,Rotary Phone|WÃ¤hlscheibentelefon,تلفن چرخشی,,,,,
http://www.snik.eu/ontology/bb/NursingProblem,Nursing Problem,مشکل پرستاری,,,,,
http://www.snik.eu/ontology/bb/ServiceStrategy,Service Strategy,استراتژی خدمات,,,,,
http://www.snik.eu/ontology/bb/StrategicHISPlanning,Strategic HIS Planning,برنامه ریزی استراتژیک  HIS,,,,,
http://www.snik.eu/ontology/bb/3LGM2MCommunicationStandard,3LGMÂ²-M Communication Standard,استاندارد ارتباطات 3LGM²-M,,,,,
http://www.snik.eu/ontology/bb/SelfDevelopedSoftware,Self Developed Software,نرم افزار خود نوشته شده,,,,,
http://www.snik.eu/ontology/bb/AdministrationOfHumanResourceMasterData,Administration of Human Resource Master Data,اداره منابع اصلی منابع انسانی,,,,,
http://www.snik.eu/ontology/bb/Appointment,Appointment|Termin,وقت ملاقات,,,,,
http://www.snik.eu/ontology/bb/V1Style,V1 Style,سبک V1,,,,,
http://www.snik.eu/ontology/bb/CostBenefitAnalysis,Costâ€“Benefit Analysis|Kosten-Nutzen-Analyse,تجزیه و تحلیل سود و هزینه,,,,,
http://www.snik.eu/ontology/bb/ConvergingTechnologies,Converging Technologies,فن آوریهای هم گرا,,,,,
http://www.snik.eu/ontology/bb/EnterpriseFunctionModelingElement,Enterprise Function Modeling Element,عنصر مدل سازی کار کرد شرکت,,,,,
http://www.snik.eu/ontology/bb/Ascii,ASCII,اسکی,,,,,
http://www.snik.eu/ontology/bb/ConfigurationManagement,Configuration Management,مدیریت پیکربندی,,,,,
http://www.snik.eu/ontology/bb/HisInfrastructure,HIS Infrastructure,زیرساخت HIS,,,,,
http://www.snik.eu/ontology/bb/DecisionMakingPlanningAndOrganizationOfPatientTreatment,Decision Making Planning and Organization of Patient Treatment,تصمیم گیری برنامه ریزی و سازماندهی درمان بیمار,,,,,
http://www.snik.eu/ontology/bb/HisBudgetPlanning,HIS Budget Planning,برنامه ریزی بودجه HIS,,,,,
http://www.snik.eu/ontology/bb/HealthCareProfessional,Health Care Professional|Klinisches Personal,متخصصان مراقبت های بهداشتی,,,,,
http://www.snik.eu/ontology/bb/ComputerizedPhysicianOrderEntrySystem,Befundanforderungssystem|Computerized Physician Order Entry System,نظام ورود به سیستم درخاست یافته های پزشکی,,,,,
http://www.snik.eu/ontology/bb/FunctionalIntegration,Functional Integration|Funktionsintegration,یک پارچگی کار کردی,,,,,
http://www.snik.eu/ontology/bb/ManagementBoardBuffer,Management Board Buffer,حائل هیئت مدیره,,,,,
http://www.snik.eu/ontology/bb/ResearchInstitution,Research Institution,سازمان پژوهشی,,,,,
http://www.snik.eu/ontology/bb/MobileComputer,Mobile Computer,کامپیوتر سیار,,,,,
http://www.snik.eu/ontology/bb/PatientDischargeAndTransferToOtherInstitutions,Patient Discharge and Transfer to Other Institutions,تخلیه و انتقال بیمار به موسسات دیگر,,,,,
http://www.snik.eu/ontology/bb/PlanningOfFinances,Planning of Finances,برنامه ریزی مالی,,,,,
http://www.snik.eu/ontology/bb/RequirementOfHISStakeholder,Requirement of HIS Stakeholder,احتیاج ذی نفع HIS,,,,,
http://www.snik.eu/ontology/bb/MicrobiologyReport,Microbiology Report,گزارش میکروبیولوژی,,,,,
http://www.snik.eu/ontology/bb/Adaptability,Adaptability,سازگاری,,,,,
http://www.snik.eu/ontology/bb/VisitorAndInformationService,Visitor and Information Service,سرویس بازدید کننده و اطلاعاتی,,,,,
http://www.snik.eu/ontology/bb/TreatmentText,Behandlung|Treatment Text,متن درمانی,,,,,
http://www.snik.eu/ontology/bb/ProjectManagementMethod,Project Management Method,روش مدیریت پروژه,,,,,
http://www.snik.eu/ontology/bb/3LGM2EntityType,3LGMÂ² Entity Type,نوع عنصر 3LGM ²,,,,,
http://www.snik.eu/ontology/bb/ReferenceModelForTheDomainLayerOfHospitalInformationSystems,Reference Model for the Domain Layer of Hospital Information Systems,مدل مرجع برای لایه دامنه سیستم های اطلاعات بیمارستانی,,,,,
http://www.snik.eu/ontology/bb/CcowStandard,CCOW Standard,استاندارد CCOW,,,,,
http://www.snik.eu/ontology/bb/3LGM2ComputerBasedApplicationComponent,3LGMÂ² Computer-Based Application Component,ترکیب دهنده مبتنی بر رایانه 3LGM ²,,,,,
http://www.snik.eu/ontology/bb/ExecutionOfRadiologicalProcedures,Execution of Radiological Procedures,اجرای روال های رادیولوژیک,,,,,
http://www.snik.eu/ontology/bb/ContextualIntegration,Contextual Integration|Kontextintegration,ادغام متنی,,,,,
http://www.snik.eu/ontology/bb/Middleware,Middleware,میان‌افزار,,,,,
http://www.snik.eu/ontology/bb/ArchitecturalStyleOfTheLogicalToolLayer,Architectural Style of the Logical Tool Layer,سبک معماری لایه ابزار منطقی,,,,,
http://www.snik.eu/ontology/bb/FunctionalModel,Aufgabenmodell|Functional Model,مدل عملکردی,,,,,
http://www.snik.eu/ontology/bb/ISO25000SoftwareQuality,ISO 25000 Software Quality,کیفیت نرم افزار ISO 25000,,,,,
http://www.snik.eu/ontology/bb/ClassDiagram,Class Diagram,نمودار کلاس,,,,,
http://www.snik.eu/ontology/bb/DataProtection,Data Protection,حفاظت اطلاعات,,,,,
http://www.snik.eu/ontology/bb/ModelOfTheCurrentHIS,Model of the Current HIS,مدل کنونی HIS,,,,,
http://www.snik.eu/ontology/bb/FinancialControlling,Financial Controlling,بازرسی مالی,,,,,
http://www.snik.eu/ontology/bb/PlanningOfRooms,Planning of Rooms,برنامه ریزی اتاقها,,,,,
http://www.snik.eu/ontology/bb/HL7Version3,HL7 Version 3,HL7 نسخه 3,,,,,
http://www.snik.eu/ontology/bb/ReliablePhysicalDataProcesssingSystem,reliable physical data processing system,سیستم قابل اعتماد فیزیکی پردازش داده ها,,,,,
http://www.snik.eu/ontology/bb/InformationSystemSafety,Information System Safety,امنیت سیستم اطلاعات,,,,,
http://www.snik.eu/ontology/bb/MedicalReport,Medical Report,گزارش پزشکی,,,,,
http://www.snik.eu/ontology/bb/TimeMotionAnalysis,Time-Motion Analysis,تجزیه و تحلیل زمان-حرکت,,,,,
http://www.snik.eu/ontology/bb/OperationManagementSystem,OP-Managementsystem|Operation Management System,سیستم مدیریت عملکرد,,,,,
http://www.snik.eu/ontology/bb/PertinentInformation,Pertinent Information,اطلاعات مربوطه,,,,,
http://www.snik.eu/ontology/bb/QualitativeContentAnalysis,Qualitative Content Analysis,تجزیه و تحلیل محتوا کیفی,,,,,
http://www.snik.eu/ontology/bb/StudyPlan,Study Plan,برنامه مطالعه,,,,,
http://www.snik.eu/ontology/bb/StudyHypothesis,Study Hypothesis,فرضیه مطالعه,,,,,
http://www.snik.eu/ontology/bb/Khrg,KHRG,قانون اصلاحات تامین مالی بیمارستانها در آلمان,KHRG,,,,
http://www.snik.eu/ontology/bb/ClinicalDocumentation,Clinical Documentation|Klinische Dokumentation,مستندات بالینی,,,,,
http://www.snik.eu/ontology/bb/ExecutionOfAnITEvaluationStudy,Execution of an IT Evaluation Study,اجرای یک مطالعه ارزیابی فناوری اطلاعات ,,,,,
http://www.snik.eu/ontology/bb/InformationAndCommunicationTechnology,Information and Communication Technology,فناوری اطلاعات و ارتباطات,,,,,
http://www.snik.eu/ontology/bb/FulfillmentOfLawsRelevantToInformationManagement,Fulfillment of Laws relevant to Information Management,ارضاء قوانین وابسته به مدیریت اطلاعات,,,,,
http://www.snik.eu/ontology/bb/DiagnosticProcedure,Diagnostic Procedure,روش تشخیصی,,,,,
http://www.snik.eu/ontology/bb/CertificationByCCHIT,Certification by CCHIT,صدور گواهینامه CCHIT,,,,,
http://www.snik.eu/ontology/bb/IheIntegrationProfile,IHE Integration Profile,یکپارچه سازی مشخصات IHE,,,,,
http://www.snik.eu/ontology/bb/NursingAnamnesis,Nursing Anamnesis,یادآوری پرستاری,,,,,
http://www.snik.eu/ontology/bb/EntityType,Entity Type|Objekttyp,نوع نهاد,,,,,
http://www.snik.eu/ontology/bb/Physician,Physician,پزشک,,,,,
http://www.snik.eu/ontology/bb/Organization,Organization,سازمان,,,,,
http://www.snik.eu/ontology/bb/PhysicalToolLayer,Physical Tool Layer|Physische Werkzeugebene,لایه ابزار فیزیکی,,,,,
http://www.snik.eu/ontology/bb/HL7MessageTypeEventTypeCombination,HL7 Message Type Event Type Combination, ترکیب نوع پیام نوع رویداد HL7,,,,,
http://www.snik.eu/ontology/bb/QualityOfData,DatenqualitÃ¤t|Quality of Data,کیفیت اطلاعات,,,,,
http://www.snik.eu/ontology/bb/StorageAreaNetwork,Storage Area Network,شبکه ذخیره سازی,,,,,
http://www.snik.eu/ontology/bb/MagneticTape,Magnetic Tape,نوار مغناطیسی,,,,,
http://www.snik.eu/ontology/bb/ProblemManagement,Problem Management,مدیریت مشکل ها,,,,,
http://www.snik.eu/ontology/bb/ItServiceManagementStaff,IT Service Management Staff,کارکنان مدیریت خدمات فناوری اطلاعات,,,,,
http://www.snik.eu/ontology/bb/BestOfBreedArchitecture,Best-of-Breed-Architecture,معماری بهترین نژاد,,,,,
http://www.snik.eu/ontology/bb/ItEvaluationStudyManagementAndExecution,IT Evaluation Study Management and Execution,مدیریت و اجرای مطالعه ارزیابی کیفیت فناوری اطلاعات,,,,,
http://www.snik.eu/ontology/bb/Umls,UMLS,سیستم یگانه زبان پزشکی,,,,,
http://www.snik.eu/ontology/bb/NonComputerBasedInformationProcessing,Non-Computer-Based Information Processing,پردازش اطلاعات - بدون استفاده از کامپیوتر,,,,,
http://www.snik.eu/ontology/bb/UmlAttribute,UML Attribute,خصیصه UML,,,,,
http://www.snik.eu/ontology/bb/ProjectCompletionPhase,Project Completion Phase,مرحله تکمیل پروژه,,,,,
http://www.snik.eu/ontology/bb/HospitalBilling,Hospital Billing,صورتحساب بیمارستان,,,,,
http://www.snik.eu/ontology/bb/Server,Server,سرور,,,,,
http://www.snik.eu/ontology/bb/Star,Star,ستاره,,,,,
http://www.snik.eu/ontology/bb/OperationalHISMonitoring,Operational HIS Monitoring,دیده بانی عملیاتی HIS,,,,,
http://www.snik.eu/ontology/bb/MedicalAdmission,Medical Admission,پذیرش پزشکی,,,*,,
http://www.snik.eu/ontology/bb/PRINCE2,PRINCE 2,PRINCE 2,,,,,
http://www.snik.eu/ontology/bb/QualityOfProcesses,ProzessqualitÃ¤t|Quality of Processes,کیفیت فرآیندها,,,Process Quality,,
http://www.snik.eu/ontology/bb/SystematicInformationProcessing,Systematic Information Processing,پردازش اطلاعات سیستماتیک,,,,,
http://www.snik.eu/ontology/bb/Certification,Certification|Zertifizierung,صدور گواهینامه,,,,,
http://www.snik.eu/ontology/bb/BalanceOfDataSecurityAndWorkingProcesses,Balance of Data Security and Working Processes,تعادل امنیت اطلاعات و فرآیندهای کاری,,,,,
http://www.snik.eu/ontology/bb/DescriptionOfTheCurrentHISState,Description of the Current HIS State,شرح چگونگی کنونی HIS,,,,,
http://www.snik.eu/ontology/bb/OAIS3,OAIS3,سیستم اطلاعات بایگانی باز 3 (OAIS3),,,,,
http://www.snik.eu/ontology/bb/Bdsg,BDSG,قانون فدرال حفاظت از داده,,,Federal data protection act,,
http://www.snik.eu/ontology/bb/HospitalManagementStaff,Hospital Management Staff,کارکنان مدیریت بیمارستان,,,,,
http://www.snik.eu/ontology/bb/Adt,ADT,انتقال داده صورت حساب,,,Billing data transfer,,
http://www.snik.eu/ontology/bb/MedicalDischargeAndMedicalReportWriting,Medical Discharge and Medical Report Writing,تخلیه پزشکی و نوشتن گزارش پزشکی,,,,,
http://www.snik.eu/ontology/bb/SwotAnalysis,SWOT Analysis,تجزیه و تحلیل SWOT (ارزیابی نقاط قوت، ضعف، فرصت ها و تهدیدات),,,,,
http://www.snik.eu/ontology/bb/HeterogeneousArchitecture,Heterogeneous Architecture,معماری ناهمگن,,,,,
http://www.snik.eu/ontology/bb/QueueManager,Queue Manager,مدیر صف,,,,,
http://www.snik.eu/ontology/bb/ManagementUnit,Management Unit,واحد مدیریت,,,,,
http://www.snik.eu/ontology/bb/Workstation,Workstation,ایستگاه کاری,,,,,
http://www.snik.eu/ontology/bb/TacticalHISPlanning,Tactical HIS Planning,برنامه ریزی تاکتیکی HIS,,,,,
http://www.snik.eu/ontology/bb/PatientRecord,Patient Record,سابقه بیمار,,,,,
http://www.snik.eu/ontology/bb/QualityReport,Quality Report,گزارش کیفیت,,,,,
http://www.snik.eu/ontology/bb/ManagementOfClinicalDepartment,Management of Clinical Department,مدیریت گروه بالینی,,,,,
http://www.snik.eu/ontology/bb/ReturnOnInvestmentStudy,Return-on-Investment Study,مطالعه بازگشت سرمایه گذاری,,,,,
http://www.snik.eu/ontology/bb/T3DatabaseServer,T3 Database Server,سرور پایگاه داده T3,,,,,
http://www.snik.eu/ontology/bb/ResearchDocument,Research Document,سند پژوهشی,,,,,
http://www.snik.eu/ontology/bb/Complaint,Complaint,شکایت,,,,,
http://www.snik.eu/ontology/bb/CardiovascularInformationSystem,Cardiovascular Information System,سیستم اطلاعات قلب و عروق,,,,,
http://www.snik.eu/ontology/bb/ElectronicHealthRecord,Electronic Health Record|Elektronische Gesundheitsakte,پرونده الکترونیکی سلامت,,,,,
http://www.snik.eu/ontology/bb/Ccow,CCOW,کارگروه شیء متن بالینی,,,,,
http://www.snik.eu/ontology/bb/3LGM2IntralayerRelationship,3LGMÂ² Intralayer Relationship,رابطه  میان لایه 3LGM ²,,,,,
http://www.snik.eu/ontology/bb/ActivityModelingElement,Activity Modeling Element,عنصر مدل سازی فعالیت,,,,,
http://www.snik.eu/ontology/bb/LogicalToolLayer,Logical Tool Layer,لایه ابزار منطفی,,,,,
http://www.snik.eu/ontology/bb/FacilityAndArea,Facility and Area,تسهیلات و مساحت,,,,,
http://www.snik.eu/ontology/bb/HomogeneityOfTheHISArchitecture,Homogeneity of the HIS Architecture,همگنی معماری HIS,,,,,
http://www.snik.eu/ontology/bb/PatientVisitInformation,Patient Visit Information,اطلاعات مربوط به بازدید بیمار,,,,,
http://www.snik.eu/ontology/bb/GeneralPractitioner,General Practitioner,پزشک عمومی,,,,,
http://www.snik.eu/ontology/bb/MaterialAndMedicationManagement,Material and Medication Management,مدیریت مواد و دارو,,,,,
http://www.snik.eu/ontology/bb/UnstructuredInterview,Unstructured Interview,مصاحبه بدون ساختار,,,,,
http://www.snik.eu/ontology/bb/SystemIntroduction,System Introduction,معرفی سیستم,,,,,
http://www.snik.eu/ontology/bb/PatientCenteredInformationProcessing,Patient-Centered Information Processing,پردازش اطلاعات بیمار محور,,,,,
http://www.snik.eu/ontology/bb/StandardizationOfInterfaces,Standardization of Interfaces,استاندارد سازی رابط ها,,,,,
http://www.snik.eu/ontology/bb/3LGM2OrganizationalSystem,3LGMÂ² Organizational System,سیستم سازمانی 3LGM²,,,,,
http://www.snik.eu/ontology/bb/CommunicationServer,Communication Server|Kommunikationsserver,سرور ارتباطی,,,,,
http://www.snik.eu/ontology/bb/TransactionManagementTechnology,Transaction Management Technology,فناوری مدیریت تراکنش,,,,,
http://www.snik.eu/ontology/bb/StandardizationByCEN,Standardization by CEN,استاندارد کردن توسط CEN,,,,,
http://www.snik.eu/ontology/bb/PatientCare,Patient Care|Patient Care Function|Patientenbehandlung,تابع مراقبت از بیمار,,,,,
http://www.snik.eu/ontology/bb/DrugService,Drug Service,سرویس دارویی,,,,,
http://www.snik.eu/ontology/bb/AppropriatePhysicalDataProcessingSystem,AppropriatePhysicalDataProcessingSystem,سیستم مناسب پردازش داده های فیزیکی,,,,,
http://www.snik.eu/ontology/bb/CodingOfDiagnosesAndProcedures,Coding of Diagnoses and Procedures,کد گذاری تشخیص و جراحی ها,,,,,
http://www.snik.eu/ontology/bb/LaundryManagement,Laundry Management,مدیریت رختشو خانه,,,,,
http://www.snik.eu/ontology/bb/DataCollectionEffort,Data Collection Effort,تلاش برای جمع آوری داده ها,,,,,
http://www.snik.eu/ontology/bb/MriScanner,MRI Scanner,اسکنر MRI,,,,,
http://www.snik.eu/ontology/bb/ExecutionOfIrradiation,Execution of Irradiation,اجرای تابش,,,,,
http://www.snik.eu/ontology/bb/LaboratoryFinding,Laboratory Finding,یافته آزمایشگاهی,,,,,
http://www.snik.eu/ontology/bb/ExecutionOfClinicalTrials,Execution of Clinical Trials,اجرای مطالعات پزشکی,,,,,
http://www.snik.eu/ontology/bb/InformationManagementBoard,Ausschuss fÃ¼r Informationsmanagement|Information Management Board,هیئت مدیره اطلاعات,,,,,
http://www.snik.eu/ontology/bb/PatientIdentificationAndCheckingForRecurrent,Patient Identification and Checking for Recurrent,,,,,,
http://www.snik.eu/ontology/bb/OrganizationalSystem,Organisationssystem|Organizational System,سیستم سازمانی,,,,,
http://www.snik.eu/ontology/bb/FunctionalCoverageOfTheApplicationComponent,Functional Coverage of the Application Component,پوشش کاربردی اجزای برنامه,,,,,
http://www.snik.eu/ontology/bb/IntegratedHIS,Integrated HIS,یگانه HIS,,,,,
